cost_name,player_name,normal_cost,relief_only_cost,pitcher_only_cost,fielder_only_cost,two_way_cost,cost_exempt
2024年12月コスト改定,博麗　霊夢,8,4,,,,false
2024年12月コスト改定,霧雨　魔理沙,12,,10,4,,false
2024年12月コスト改定,茨木　華扇,8,,,,,false
2024年12月コスト改定,少名　針妙丸,6,,,,,false
2024年12月コスト改定,蘇我　屠自古,7,5,,,,false
2024年12月コスト改定,奥野田　美宵,4,,,,,false
2024年12月コスト改定,アリス・マーガトロイド,8,,,,,false
2024年12月コスト改定,九十九　八橋,3,,,,,false
2024年12月コスト改定,九十九　弁々,3,,,,,false
2024年12月コスト改定,秦　こころ,3,,,,,false
2024年12月コスト改定,リリーホワイト,2,,,,,false
2024年12月コスト改定,三頭　慧ノ子,5,3,,,,false
2024年12月コスト改定,牛崎　潤美,4,,,,,false
2024年12月コスト改定,レティ・ホワイトロック,2,,,,,false
2024年12月コスト改定,堀川　雷鼓,9,,,,,false
2024年12月コスト改定,豪徳寺　ミケ,1,,,,,false
2024年12月コスト改定,物部　布都,6,,,,,false
2024年12月コスト改定,高麗野　あうん,3,,,,,false
2024年12月コスト改定,天弓　千亦,7,,,,,false
2024年12月コスト改定,霍　青娥,4,,,,,false
2024年12月コスト改定,大妖精,3,,,,,false
2024年12月コスト改定,チルノ,1,,,,,false
2024年12月コスト改定,豊聡耳　神子,10,,,,,false
2024年12月コスト改定,宮古　芳香,3,,,,,false
2024年12月コスト改定,エタニティラルバ,1,,,,,false
2024年12月コスト改定,驪駒　早鬼,10,,,,,false
2024年12月コスト改定,風見　幽香,4,,,,,false
2024年12月コスト改定,比那名居　天子,2,,,,,false
2024年12月コスト改定,秋　静葉,1,,,,,false
2024年12月コスト改定,宇佐見　菫子,7,,,,,false
2024年12月コスト改定,坂田　ネムノ,3,,,,,false
2024年12月コスト改定,飯綱丸　龍,9,,6,3,,false
2024年12月コスト改定,秋　穣子,2,,,,,false
2024年12月コスト改定,東風谷　早苗,7,,,,,false
2024年12月コスト改定,宇佐見　蓮子,2,,,,,false
2024年12月コスト改定,エリー,1,,,,,false
2024年12月コスト改定,マエリベリー・ハーン,4,,,,,false
2024年12月コスト改定,埴安神　袿姫,6,,,,,false
2024年12月コスト改定,洩矢　諏訪子,2,,,,,false
2024年12月コスト改定,八坂　神奈子,4,,,,,false
2024年12月コスト改定,山城　たかね,3,,,,,false
2024年12月コスト改定,河城　にとり,2,,,,,false
2024年12月コスト改定,菅牧　典,4,,,,,false
2024年12月コスト改定,犬走　椛,4,,,,,false
2024年12月コスト改定,永江　衣玖,4,,,,,false
2024年12月コスト改定,姫海棠　はたて,7,,,,,false
2024年12月コスト改定,鍵山　雛,2,,,,,false
2024年12月コスト改定,杖刀偶　磨弓,9,,,,,false
2024年12月コスト改定,射命丸　文,10,,,,,false
2024年12月コスト改定,多々良　小傘,8,,,,,false
2024年12月コスト改定,オレンジ,1,,,,,false
2024年12月コスト改定,わかさぎ姫,1,,,,,false
2024年12月コスト改定,八意　永琳,8,,,,,false
2024年12月コスト改定,メルラン・プリズムリバー,3,,,,,false
2024年12月コスト改定,メディスン・メランコリー,2,,,,,false
2024年12月コスト改定,綿月　豊姫,5,,,,,false
2024年12月コスト改定,四季映姫・ヤマザナドゥ,9,,,,,false
2024年12月コスト改定,稀神　サグメ,7,3,,,,false
2024年12月コスト改定,ルナサ・プリズムリバー,2,,,,,false
2024年12月コスト改定,リリカ・プリズムリバー,8,,,,,false
2024年12月コスト改定,稗田　阿求,3,,,,,false
2024年12月コスト改定,本居　小鈴,6,4,,,,false
2024年12月コスト改定,摩多羅　隠岐奈,9,,,,,false
2024年12月コスト改定,爾子田　里乃,6,,,,,false
2024年12月コスト改定,丁礼田　舞,6,,,,,false
2024年12月コスト改定,蓬莱山　輝夜,8,,,,,false
2024年12月コスト改定,鈴瑚,5,,,,,false
2024年12月コスト改定,ドレミー・スイート,4,,,,,false
2024年12月コスト改定,鈴仙・優曇華院・イナバ,2,,,,,false
2024年12月コスト改定,因幡　てゐ,2,,,,,false
2024年12月コスト改定,今泉　影狼,3,,,,,false
2024年12月コスト改定,藤原　妹紅,5,,,,,false
2024年12月コスト改定,上白沢　慧音,3,,,,,false
2024年12月コスト改定,レイセン,1,,,,,false
2024年12月コスト改定,綿月　依姫,10,,,,,false
2024年12月コスト改定,小野塚　小町,4,,,,,false
2024年12月コスト改定,清蘭,3,,,,,false
2024年12月コスト改定,古明地　さとり,5,2,,,,false
2024年12月コスト改定,村紗　水蜜,8,5,,,,false
2024年12月コスト改定,聖　白蓮,6,,,,,false
2024年12月コスト改定,水橋　パルスィ,1,,,,,false
2024年12月コスト改定,矢田寺　成美,5,3,,,,false
2024年12月コスト改定,姫虫　百々世,8,,,,,false
2024年12月コスト改定,雲居　一輪,2,,,,,false
2024年12月コスト改定,ミスティア・ローレライ,2,,,,,false
2024年12月コスト改定,朱鷺子,3,,,,,false
2024年12月コスト改定,古明地　こいし,6,,,,,false
2024年12月コスト改定,天火人　ちやり,7,,,,,false
2024年12月コスト改定,宮出口　瑞霊,8,5,,,,false
2024年12月コスト改定,キスメ,1,,,,,false
2024年12月コスト改定,封獣ぬえ,6,,,,,false
2024年12月コスト改定,幽谷　響子,2,,,,,false
2024年12月コスト改定,星熊　勇儀,9,,,,,false
2024年12月コスト改定,夢月,4,,,,,false
2024年12月コスト改定,寅丸　星,4,,,,,false
2024年12月コスト改定,幻月,3,,,,,false
2024年12月コスト改定,ナズーリン,2,,,,,false
2024年12月コスト改定,鬼人　正邪,4,,,,,false
2024年12月コスト改定,火焔猫　燐,5,,,,,false
2024年12月コスト改定,二ツ岩　マミゾウ,4,,,,,false
2024年12月コスト改定,霊烏路　空,7,,,,,false
2024年12月コスト改定,黒谷　ヤマメ,3,,,,,false
2024年12月コスト改定,饕餮　尤魔,6,,,,,false
2024年12月コスト改定,魅魔,7,,,,,false
2024年12月コスト改定,ユキ,1,,,,,false
2024年12月コスト改定, マイ,2,1,,,,false
2024年12月コスト改定,朝倉　理香子,6,,,,,false
2024年12月コスト改定,サリエル,5,3,,,,false
2024年12月コスト改定,玉造　魅須丸,6,,,,,false
2024年12月コスト改定,神綺,4,,,,,false
2024年12月コスト改定,カナ・アナベラル,2,,,,,false
2024年12月コスト改定,エリス,1,,,,,false
2024年12月コスト改定,エレン,2,,,,,false
2024年12月コスト改定,クラウンピース,9,,,,,false
2024年12月コスト改定,日白　残無,5,,,,,false
2024年12月コスト改定,里香,1,,,,,false
2024年12月コスト改定,純狐,8,,,,,false
2024年12月コスト改定,北白河　ちゆり,2,,,,,false
2024年12月コスト改定,サラ,1,,,,,false
2024年12月コスト改定,ヘカーティア・ラピスラズリ,10,,,,,false
2024年12月コスト改定,岡崎　夢美,12,,,,,false
2024年12月コスト改定,夢子,6,,,,,false
2024年12月コスト改定,豫母都　日狭美,5,,,,,false
2024年12月コスト改定,小兎姫,3,,,,,false
2024年12月コスト改定,明羅,5,,,,,false
2024年12月コスト改定,コンガラ,2,,,,,false
2024年12月コスト改定,ルイズ,1,,,,,false
2024年12月コスト改定,くるみ,2,,,,,false
2024年12月コスト改定,ユウゲンマガン,1,,,,,false
2024年12月コスト改定,赤蛮奇,2,,,,,false
2024年12月コスト改定,庭渡　久侘歌,4,,,,,false
2024年12月コスト改定,駒草　山如,5,4,,,,false
2024年12月コスト改定,依神　女苑,7,,,,,false
2024年12月コスト改定,依神　紫苑,7,,,,,false
2024年12月コスト改定,戎　瓔花,2,,,,,false
2024年12月コスト改定,八雲　紫,6,,,,,false
2024年12月コスト改定,スターサファイア,1,,,,,false
2024年12月コスト改定,ルナチャイルド,1,,,,,false
2024年12月コスト改定,サニーミルク,1,,,,,false
2024年12月コスト改定,パチュリー・ノーレッジ,3,,,,,false
2024年12月コスト改定,小悪魔,1,,,,,false
2024年12月コスト改定,キクリ,1,,,,,false
2024年12月コスト改定,吉弔　八千慧,3,,,,,false
2024年12月コスト改定,西行寺　幽々子,2,,,,,false
2024年12月コスト改定,八雲　藍,10,,,,,false
2024年12月コスト改定,橙,1,,,,,false
2024年12月コスト改定,十六夜　咲夜,8,,,,,false
2024年12月コスト改定,リグル・ナイトバグ,1,,,,,false
2024年12月コスト改定,レミリア・スカーレット,10,,,,,false
2024年12月コスト改定,伊吹　萃香,3,,,,,false
2024年12月コスト改定,紅　美鈴,4,,,,,false
2024年12月コスト改定,ルーミア,3,,,,,false
2024年12月コスト改定,魂魄　妖夢,2,,,,,false
2024年12月コスト改定,フランドール・スカーレット,8,,,,,false
2024年12月コスト改定,孫　美天,3,,,,,false
2024年12月コスト改定,有原　翼,,,,7,15,false
2024年12月コスト改定,野崎　夕姫,,,,7,15,false
2024年12月コスト改定,竹富　亜矢,,,,3,4,false
2024年12月コスト改定,鈴木　和香,,,,5,8,false
2024年12月コスト改定,花山　栄美,,,,3,5,false
2024年12月コスト改定,中野　綾香,,,,6,12,false
2024年12月コスト改定,直江　太結,,,,5,11,false
2024年12月コスト改定,本庄　千景,,,,5,11,false
2024年12月コスト改定,近藤　咲,,,,6,9,false
2024年12月コスト改定,永井　加奈子,,,,7,13,false
2024年12月コスト改定,新田　美奈子,,,,2,3,false
2024年12月コスト改定,岩城　良美,,,,5,9,false
2024年12月コスト改定,九十九　伽奈,,,,4,9,false
2024年12月コスト改定,坂上　芽衣,,,,3,5,false
2024年12月コスト改定,宇喜多　茜,,,,3,8,false
2024年12月コスト改定,倉敷　舞子,,,,4,12,false
2024年12月コスト改定,阿佐田　あおい,,,,7,7,false
2024年12月コスト改定,天草　琴音,,,,2,3,false
2024年12月コスト改定,東雲　龍,,,,6,14,false
2024年12月コスト改定,初瀬　麻里安,,,,1,2,false
2024年12月コスト改定,泉田　京香,,,,6,9,false
2024年12月コスト改定,朝比奈　いろは,,,,7,11,false
2024年12月コスト改定,仙波　綾子,,,,5,6,false
2024年12月コスト改定,柊　琴葉,,,,3,5,false
2024年12月コスト改定,秋乃　小麦,,,,3,8,false
2024年12月コスト改定,椎名　ゆかり,,,,2,5,false
2024年12月コスト改定,逢坂　ここ,,,,7,12,false
2024年12月コスト改定,月島　結衣,,,,3,5,false
