card_seq,player_id,card_set_id,number,position,name,card_source,parse_status,throwing_hand,batting_hand,is_pitcher,card_type,speed,bunt,steal_start,steal_end,injury_rate,is_relief_only,starter_stamina,relief_stamina,batting_style_id,pitching_style_id,is_closer,unique_traits,injury_traits,biorhythm_period,biorhythm_date_ranges,batting_table,pitching_table,card_label,irc_macro_name,irc_display_name,variant,base_player_name
1,,,01,投手,茨木 華扇,2025THBIG,ok,left,left,true,pitcher,3,3,1,1,4,false,6,,,,false,,,,,"[[""2H8"", ""H8a"", ""2B"", ""H7""], [""2H9"", ""H8"", ""3B"", ""G1f""], [""H7a"", ""H9a"", ""SS"", ""G3D""], [""H7"", ""G6f/H8"", ""G1D"", ""G4D""], [""H8a"", ""1B"", ""G3D"", ""G5a""], [""H9"", ""2B"", ""G4f"", ""G6D""], [""G6D/H8"", ""LF"", ""G4a"", ""F7a""], [""1B"", ""G3D"", ""G5a"", ""F8""], [""SS"", ""G3f"", ""G6D"", ""F9a""], [""G3D"", ""G4D"", ""G6f"", ""PO""], [""G3a"", ""G5D"", ""F7a"", ""BB""], [""G6D"", ""G6a"", ""F8a"", ""BB""], [""F7"", ""F7"", ""F9"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""2*"", ""2*"", ""2"", ""2"", ""3P2"", ""3*"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""4"", ""4"", ""5"", ""5"", ""5"", ""5""]",,01,,,
2,,,06,投手,博麗 霊夢,2025THBIG,ok,right,right,true,pitcher,1,7,1,1,5,false,6,1,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8a"", ""1B"", ""G1D""], [""H7a"", ""H8"", ""3B"", ""G3D""], [""H7"", ""H9a"", ""G1a"", ""G4f""], [""H8a"", ""2B"", ""G3D"", ""G5a""], [""H8"", ""LF"", ""G4D"", ""G6D""], [""H9"", ""RF"", ""G5a"", ""F7""], [""H8a/G4D"", ""G3a"", ""G6D"", ""F8a""], [""1B"", ""G4f"", ""G6f"", ""F9""], [""SS"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""1P4"", ""2*"", ""2*"", ""3*"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""4"", ""4"", ""4"", ""5"", ""5"", ""5"", ""5"", ""5""]",,06,,,
3,,,1,投手,霧雨 魔理沙,2025THBIG,ok,left,left,true,pitcher,4,1,4,15,6,false,7,,,,false,,,,,"[[""HR7"", ""HR7"", ""G6f/H8"", ""H7""], [""HR7"", ""2H7"", ""P"", ""H9""], [""HR8"", ""2H9"", ""3B"", ""G1f""], [""HR9"", ""H7a"", ""LF"", ""G3D""], [""2H7/HR7"", ""H8a"", ""G1D"", ""G4D""], [""3H8"", ""H9"", ""G3D"", ""G4a""], [""2H7a"", ""LF"", ""G3a"", ""G5D""], [""2H8"", ""CF"", ""G4D"", ""G6D""], [""H8a"", ""RF"", ""G4f"", ""F7a""], [""H8"", ""G3D"", ""G5D"", ""F7""], [""H9a"", ""G4D"", ""G6D"", ""F8a""], [""H9"", ""G4a"", ""G6a"", ""F8""], [""2B"", ""G6D"", ""F7"", ""F9a""], [""SS"", ""F7a"", ""F8a"", ""F9""], [""G4f"", ""F8"", ""F8"", ""PO""], [""G6D"", ""F8"", ""F9a"", ""PO""], [""F7"", ""F9a"", ""F9"", ""PO/BB""], [""F8a"", ""PO"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""2*"", ""2"", ""2"", ""2"", ""2P5"", ""3*"", ""3"", ""3"", ""3"", ""4"", ""4"", ""4"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",,1,,,
4,,,29,投手,少名 針妙丸,2025THBIG,ok,left,left,true,pitcher,1,9,1,1,5,false,7,,,,false,,,,,"[[""2H8"", ""H7a"", ""K/H7"", ""H7""], [""2H9"", ""H7"", ""2B"", ""G1f""], [""H7a"", ""H8a"", ""3B"", ""G3D""], [""H7"", ""H9"", ""SS"", ""G4D""], [""H7"", ""G5f/IH5"", ""G1D"", ""G5a""], [""H8"", ""2B"", ""G3D"", ""G6D""], [""IH6"", ""SS"", ""G4f"", ""F7a""], [""G3D/H9a"", ""LF"", ""G4a"", ""F8""], [""1B"", ""G1a"", ""G5a"", ""F9a""], [""SS"", ""G3D"", ""G6D"", ""PO""], [""G3a"", ""G4D"", ""G6f"", ""BB""], [""G4f"", ""G5a"", ""F7a"", ""BB""], [""G6D"", ""G6D"", ""F8a"", ""BB""], [""F7"", ""F7"", ""F9"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""1"", ""1P2"", ""2*"", ""2*"", ""3*"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""4P3"", ""4"", ""5"", ""5""]",,29,,,
5,,,47,投手,蘇我 屠自古,2025THBIG,ok,left,left,true,pitcher,1,2,1,1,5,false,6,1,,,false,,,,,"[[""2H8"", ""H8"", ""2B"", ""H7""], [""2H9"", ""H9"", ""3B"", ""G1f""], [""H7"", ""G6f/H8a"", ""SS"", ""G3D""], [""H8a"", ""1B"", ""G1D"", ""G4D""], [""H9"", ""2B"", ""G3D"", ""G5a""], [""G6D/H8"", ""LF"", ""G4f"", ""G6D""], [""1B"", ""G1a"", ""G4a"", ""F7a""], [""SS"", ""G3D"", ""G5a"", ""F8""], [""G3D"", ""G3f"", ""G6D"", ""F9a""], [""G3a"", ""G4D"", ""G6f"", ""PO""], [""G4f"", ""G5D"", ""F7a"", ""BB""], [""G6D"", ""G6a"", ""F8a"", ""BB""], [""F7"", ""F7"", ""F9"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""2*"", ""2"", ""2"", ""2"", ""3/2"", ""3*"", ""3"", ""4"", ""4"", ""4"", ""4"", ""4P5"", ""5*"", ""5"", ""5"", ""5"", ""5"", ""5""]",,47,,,
6,,,165,投手,戎 瓔花,2025THBIG,ok,right,right,true,pitcher,1,9,1,1,2,false,5,,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""2*"", ""2*"", ""2"", ""2"", ""2"", ""2"", ""3P2"", ""3*"", ""3*"", ""3"", ""3"", ""4/3"", ""4"", ""4"", ""5"", ""5"", ""5""]",,165,,,
7,,,7,投手,アリス・マーガトロイド,2025THBIG,ok,right,right,true,pitcher,1,1,1,1,6,true,,1,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""2"", ""2"", ""2"", ""2P3"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""4/3"", ""4"", ""5"", ""5"", ""5""]",,7,,,
8,,,58,投手,九十九 八橋,2025THBIG,ok,left,left,true,pitcher,1,3,1,1,4,true,,0,,,false,,,,,"[[""2H8"", ""H8"", ""2B"", ""H7""], [""2H9"", ""H9"", ""3B"", ""G1f""], [""H7"", ""G6f/H8a"", ""SS"", ""G3D""], [""H8a"", ""1B"", ""G1D"", ""G4D""], [""H9"", ""2B"", ""G3D"", ""G5a""], [""G6D/H8"", ""LF"", ""G4f"", ""G6D""], [""1B"", ""G1a"", ""G4a"", ""F7a""], [""SS"", ""G3D"", ""G5a"", ""F8""], [""G3D"", ""G3f"", ""G6D"", ""F9a""], [""G3a"", ""G4D"", ""G6f"", ""PO""], [""G4f"", ""G5D"", ""F7a"", ""BB""], [""G6D"", ""G6a"", ""F8a"", ""BB""], [""F7"", ""F7"", ""F9"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""3/1"", ""1P3"", ""2*"", ""2"", ""2"", ""3/2"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""3/4"", ""4"", ""4"", ""4"", ""5"", ""5"", ""5""]",,58,,,
9,,,59,投手,九十九 弁々,2025THBIG,ok,right,right,true,pitcher,1,3,1,1,4,true,,0,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1/2"", ""2*"", ""2"", ""2"", ""2"", ""2/3"", ""2P3"", ""3*"", ""3"", ""3"", ""3"", ""4P3"", ""4"", ""4"", ""4/5"", ""5"", ""5"", ""5""]",,59,,,
10,,,73,投手,秦 こころ,2025THBIG,ok,right,right,true,pitcher,1,1,1,1,4,false,,1,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1P3"", ""1/3"", ""3*"", ""3*"", ""3*"", ""3"", ""3"", ""4"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",,73,,,
